room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_office_41,95560,969,0.01014023,semantic_boundary,FlashKNN,969,0.62745098,0.54750472,0.40915949
5_office_41,95560,969,0.01014023,semantic_boundary,ExactKNN,969,0.65221878,0.56673195,0.42074364
5_office_41,95560,969,0.01014023,non_boundary,FlashKNN,94591,0.93726676,0.90888849,0.85061716
5_office_41,95560,969,0.01014023,non_boundary,ExactKNN,94591,0.93356662,0.92386582,0.84965302
5_office_40,176343,2110,0.01196532,all,FlashKNN,176343,0.94046829,0.83307823,0.70709888
5_office_40,176343,2110,0.01196532,all,ExactKNN,176343,0.93583528,0.83575382,0.78054335
5_office_40,176343,2110,0.01196532,semantic_boundary,FlashKNN,2110,0.59383886,0.54329764,0.33775476
5_office_40,176343,2110,0.01196532,semantic_boundary,ExactKNN,2110,0.60379147,0.44192495,0.31257899
5_office_40,176343,2110,0.01196532,non_boundary,FlashKNN,174233,0.94466605,0.83905408,0.71374950
5_office_40,176343,2110,0.01196532,non_boundary,ExactKNN,174233,0.93985640,0.84144363,0.78805192
5_hallway_7,78157,800,0.01023581,all,FlashKNN,78157,0.94706808,0.93929628,0.76632792
5_hallway_7,78157,800,0.01023581,all,ExactKNN,78157,0.96596594,0.94409231,0.66087475
5_hallway_7,78157,800,0.01023581,semantic_boundary,FlashKNN,800,0.77000000,0.76069271,0.38858470
5_hallway_7,78157,800,0.01023581,semantic_boundary,ExactKNN,800,0.73250000,0.58935961,0.33143999
5_hallway_7,78157,800,0.01023581,non_boundary,FlashKNN,77357,0.94889926,0.94110726,0.76920599
5_hallway_7,78157,800,0.01023581,non_boundary,ExactKNN,77357,0.96838037,0.94663698,0.66392372
5_office_17,65789,688,0.01045768,all,FlashKNN,65789,0.90778094,0.89582715,0.72490982
5_office_17,65789,688,0.01045768,all,ExactKNN,65789,0.91550259,0.89896490,0.65242568
5_office_17,65789,688,0.01045768,semantic_boundary,FlashKNN,688,0.63953488,0.69325602,0.49269632
5_office_17,65789,688,0.01045768,semantic_boundary,ExactKNN,688,0.63808140,0.68550814,0.42859661
5_office_17,65789,688,0.01045768,non_boundary,FlashKNN,65101,0.91061581,0.89922761,0.72829622
5_office_17,65789,688,0.01045768,non_boundary,ExactKNN,65101,0.91843443,0.90289891,0.65587728
5_office_36,82973,763,0.00919576,all,FlashKNN,82973,0.91591241,0.89300948,0.81805147
5_office_36,82973,763,0.00919576,all,ExactKNN,82973,0.91480361,0.89753710,0.82020807
5_office_36,82973,763,0.00919576,semantic_boundary,FlashKNN,763,0.67627785,0.59781580,0.41197004
5_office_36,82973,763,0.00919576,semantic_boundary,ExactKNN,763,0.66186107,0.58859221,0.40315770
5_office_36,82973,763,0.00919576,non_boundary,FlashKNN,82210,0.91813648,0.89507776,0.82074984
5_office_36,82973,763,0.00919576,non_boundary,ExactKNN,82210,0.91715120,0.89984467,0.82314979
5_hallway_8,33483,185,0.00552519,all,FlashKNN,33483,0.96350387,0.79755441,0.77239471
5_hallway_8,33483,185,0.00552519,all,ExactKNN,33483,0.96828241,0.82735728,0.81457074
5_hallway_8,33483,185,0.00552519,semantic_boundary,FlashKNN,185,0.94054054,0.47210983,0.43131868
5_hallway_8,33483,185,0.00552519,semantic_boundary,ExactKNN,185,0.94054054,0.47210983,0.40155678
5_hallway_8,33483,185,0.00552519,non_boundary,FlashKNN,33298,0.96363145,0.79825071,0.77293381
5_hallway_8,33483,185,0.00552519,non_boundary,ExactKNN,33298,0.96843654,0.82832973,0.81559951
5_office_6,52673,615,0.01167581,all,FlashKNN,52673,0.94357641,0.92790647,0.80796870
5_office_6,52673,615,0.01167581,all,ExactKNN,52673,0.92905284,0.91496540,0.79530959
5_office_6,52673,615,0.01167581,semantic_boundary,FlashKNN,615,0.59674797,0.48177557,0.34938471
5_office_6,52673,615,0.01167581,semantic_boundary,ExactKNN,615,0.49756098,0.38909661,0.27265244
5_office_6,52673,615,0.01167581,non_boundary,FlashKNN,52058,0.94767375,0.93201454,0.81410390
5_office_6,52673,615,0.01167581,non_boundary,ExactKNN,52058,0.93415037,0.92018386,0.80254727
5_storage_1,46329,469,0.01012325,all,FlashKNN,46329,0.76481254,0.67377967,0.50616269
5_storage_1,46329,469,0.01012325,all,ExactKNN,46329,0.74946578,0.68865504,0.45779597
5_storage_1,46329,469,0.01012325,semantic_boundary,FlashKNN,469,0.54797441,0.46040919,0.28921311
5_storage_1,46329,469,0.01012325,semantic_boundary,ExactKNN,469,0.55223881,0.52607239,0.30560915
5_storage_1,46329,469,0.01012325,non_boundary,FlashKNN,45860,0.76703009,0.67592439,0.50859450
5_storage_1,46329,469,0.01012325,non_boundary,ExactKNN,45860,0.75148277,0.69042764,0.45960039
5_office_20,35260,425,0.01205332,all,FlashKNN,35260,0.93026092,0.92464526,0.80440757
5_office_20,35260,425,0.01205332,all,ExactKNN,35260,0.92498582,0.91383693,0.76950558
5_office_20,35260,425,0.01205332,semantic_boundary,FlashKNN,425,0.79764706,0.69138561,0.52448184
5_office_20,35260,425,0.01205332,semantic_boundary,ExactKNN,425,0.78588235,0.62426009,0.47690040
5_office_20,35260,425,0.01205332,non_boundary,FlashKNN,34835,0.93187886,0.92688825,0.80786393
5_office_20,35260,425,0.01205332,non_boundary,ExactKNN,34835,0.92668293,0.91708621,0.77316137
5_office_33,57985,584,0.01007157,all,FlashKNN,57985,0.94443391,0.90607482,0.86615287
